theme,mot,coefficient
charge_travail,charge,0.7085617115533577
charge_travail,importante,0.7085617115533577
charge_travail,rendre,0.7367830794333763
charge_travail,devoirs,0.7367830794333763
charge_travail,temps,0.8558100733591035
charge_travail,assez,0.8952902831843502
charge_travail,beaucoup,1.3357094646356902
charge_travail,travail,1.3792537903286093
difficulte,questions,0.6001402596626111
difficulte,travailler,0.6823263293011136
difficulte,compliquees,0.8106249140851451
difficulte,demandees,0.8106249140851451
difficulte,piegeuses,0.866087403811969
difficulte,eleve,0.9036181497065903
difficulte,niveau,1.0719089645540043
difficulte,difficiles,1.4335144940340663
organisation,supports,0.6372540104554896
organisation,organiser,0.6372540104554896
organisation,mieux,0.6372540104554896
organisation,faudrait,0.6372540104554896
organisation,consignes,0.6718433199180962
organisation,precises,0.6718433199180962
organisation,etre,0.8169872471373593
organisation,toujours,1.2850338127970016
pedagogie,repondre,0.6188868992505425
pedagogie,simples,0.6197545812338721
pedagogie,faciles,0.6197545812338721
pedagogie,bien,0.8473415376926234
pedagogie,suivre,0.8757172282727836
pedagogie,exemples,0.8757483080657283
pedagogie,explications,1.1571595484367412
pedagogie,professeur,1.873554870846413
satisfaction,globalement,0.7860011933468719
satisfaction,positif,0.7860011933468719
satisfaction,interessant,0.7860011933468719
satisfaction,utile,0.7860011933468719
satisfaction,suis,0.7860011933468719
satisfaction,enrichissante,0.8869751499379983
satisfaction,motivante,0.9218372437955069
satisfaction,cours,1.155536286132323
